Species,Parameter,Value,Range,Citation,doi,Location,Time period,Sex-specific?,Notes
Gray seal (Halichoerus grypus),Fr,1,,,NA,Alaska (all areas),,NA,Value for stocks of unknown status
Harbor seal (Phoca vitulina),Fr,0.7,,NOAA SAR,NA,"Bristol Bay, North Kodiak, Sitka/Chatham Strait, Dixon/Cape Decision, Clarence Strait",,NA,Default Fr value = 0.5
Harbor seal (Phoca vitulina),Fr,0.5,,NOAA SAR,NA,"Aleutian Islands, Pribilof Islands, Prince William Sound, Cook Inlet/Shelikof Islands, Glacier Bay/Icy Strait",,NA,Default Fr value = 0.5
Harbor seal (Phoca vitulina),Fr,0.3,,NOAA SAR,NA,"South Kodiak, Lynn Canal/Stephens Passage",,NA,"Default Fr value = 0.5. SARs also have mortality rates, survey CV, etc"
Steller sea lion (Eumetopias jubatus),Fr,0.1,,NOAA SAR,NA,Alaska (all areas),,NA,Default value for stocks listed as endangered under the ESA. Mortalities from salmon drift gillnet fishery available in SAR also
Gray seal (Halichoerus grypus),IBI,1 yr,,Hammill & Gosselin 1995,https://doi.org/10.1139/f95-864,Northwest Atlantic,1968-1992,NA,Pregnancy rates were 0.875 and 1 (based on different ways of determining pregnancy)
California sea lion (Zalophus californianus),K,275298,,Laake et al. 2018,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jwmg.21405,West Coast US,,,"""population carrying capacity"""
Harp seal (Pagophilus groenlandicus),K1plus,,0.022-0.380 medians,Hammill et al. 2015,10.1016/j.biocon.2015.09.016,Northwest Atlantic,,NA,range of medians across multiple models
South American sea lion (Otaria flavescens),MaxAge,16,,"Sepulveda, pers. comm.",NA,,,Male,
South American sea lion (Otaria flavescens),MaxAge,18,,"Sepulveda, pers. comm.",NA,,,Female,
General pinniped,MNPL,,0.6-0.7,Wade 2018,NA,NA,,NA,Includes harbor seals (Brown et al. 2005) and CA sea lions
Gray seal (Halichoerus grypus),MNPL,0.12,,,NA,Alaska (all areas),,NA,Default value for pinnipeds - this is for the Western North Atlantic stock
Harbor seal (Phoca vitulina),MNPL,0.12,,"Wade and Angliss 1997, cited in Alaskan harbor seal SAR",NA,Alaska (all areas),,NA,
Harp seal (Pagophilus groenlandicus),MNPL,0.12,,NOAA SAR,NA,Alaska (all areas),,NA,Default value for pinnipeds - this is for the Western North Atlantic stock
California sea lion (Zalophus californianus),MNPL/K,0.66,,Laake et al. 2018,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jwmg.21405,West Coast US,,,OSP. MNPL also in paper
California sea lion (Zalophus californianus),nages,24,,Laake et al. 2018,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jwmg.21405,West Coast US,,,
Harbor seal (Phoca vitulina),nages,,25-35 years,NOAA species fact sheet,,West Coast US,unknown,NA,
Hooded seal,nages,,25-35 years,NOAA species fact sheet,,,,NA,
Antarctic fur seal (Arctocephalus gazella),PregnancyRate,,0.68-0.77,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
Australian fur seal (Arctocephalus pusillus doriferus),PregnancyRate,0.73,,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
Brown/ cape fur seal (Arctocephalus pusillus pusillus),PregnancyRate,0.71,,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
